booking_id,is_group_booking,group_name,user_id,hotel_reservation_id,hotel_id,hotel_price,car_reservation_id,car_id,car_price,flight_reservation_id,flight_id,flight_price
800509,False,"Burns, Carter and Banks",40,3857738,486087,4887,739285,713866551,656,512943,582494,1261
234286,False,Owens Ltd,127,3233668,950430,6935,579151,713877646,3625,376311,100318,9535
821447,True,Baker Ltd,109,9091785,436776,5576,991230,735429476,3000,473021,539274,3991
350834,False,Williams and Sons,127,8096034,233907,8422,487456,742829161,1385,186382,487311,5617
75751,False,Mitchell Inc,134,179260,541476,4452,622530,721723416,5879,80567,627321,3534
661464,True,Martinez and Sons,19,540901,497001,528,73774,373607343,5618,844270,645598,7001
238687,True,Jennings-Rice,8,5249153,770401,725,496245,729179131,1184,252909,688425,6140
847404,True,Blackburn Group,58,2354172,652879,577,193170,747287111,9246,486435,718752,6721
626355,False,Merritt Inc,34,3600731,330683,3750,384620,672894571,5109,54357,165387,6583
352965,False,Garcia-Beck,68,6754830,647649,5104,180273,672569351,222,982723,270867,9802
901410,True,Burns-Espinoza,46,9960887,141397,1085,244405,718732206,8986,531454,276557,5438
24441,False,Stuart-Martin,9,4847234,81663,2339,864645,614822401,5674,140095,477192,158
318011,False,Rodriguez-Perez,72,3153886,21672,8546,151319,609703743,4779,302518,505773,8617
406115,True,Martinez Group,104,3240140,567217,3900,526618,743155891,3146,850521,750457,6285
413748,False,Rodriguez LLC,44,1422043,491866,1658,989648,722302421,2322,456232,413225,7191
970016,True,Walker-Stevenson,67,166321,92128,9,76445,714348536,1191,981229,371582,5357
535240,False,Bradley Group,16,5844238,436776,7353,675314,733123161,2981,337832,493219,1149
655020,False,Ortiz-Suarez,81,4808367,248821,5364,542755,713866526,9236,834439,217159,9136
112819,False,Baxter-Martin,73,9695629,657726,9113,456857,733205361,7434,880149,561488,1897
992932,False,Burns PLC,52,5776548,19929,3537,673083,714318011,6477,898736,35879,5109
194331,True,Morgan-Cross,79,3331274,274138,332,665656,714879431,3253,490275,274276,1045
364221,False,"Jones, Robinson and Simmons",83,2443702,957451,6287,764953,627336138,9111,830516,981765,8120
161561,False,Lloyd LLC,113,7982145,232176,1584,777418,642100458,4330,167446,122814,754
