reservation_id,user_id,flight_id,flight_time,route,flight_duration
426597,4,472255,2022-10-03 09:34:52,AKLHGH,7.21
103081,95,735736,2023-07-18 03:21:04,AKLDEL,5.52
793309,25,561949,2023-04-29 18:30:58,AKLDEL,5.52
466074,36,633805,2023-02-09 03:48:44,AKLDEL,5.52
915467,57,697490,2022-09-27 06:22:58,AKLDEL,5.52
701113,121,718321,2022-11-12 18:46:30,AKLDEL,5.52
564476,111,551025,2023-04-15 18:20:25,AKLDEL,5.52
287957,107,102416,2022-09-15 16:43:58,AKLDEL,5.52
558397,90,302099,2023-05-27 20:39:37,AKLDEL,5.52
797774,86,539940,2023-05-30 08:49:03,AKLDEL,5.52
454736,30,139145,2023-02-13 22:42:53,AKLDEL,5.52
878633,60,729227,2023-01-18 03:59:39,AKLDEL,5.52
516166,106,790072,2023-06-22 10:48:09,AKLDEL,5.52
848258,66,660844,2023-05-29 10:35:46,AKLDEL,5.52
217460,84,82284,2023-02-10 02:17:56,AKLDEL,5.52
984610,133,690994,2022-12-22 06:10:06,AKLDEL,5.52
130993,52,553967,2022-10-29 23:03:40,AKLDEL,5.52
547355,133,188074,2023-08-05 10:18:51,AKLDEL,5.52
440080,58,319311,2023-01-02 21:24:09,AKLDEL,5.52
384520,6,493941,2022-08-13 06:24:29,AKLDEL,5.52
863232,25,758280,2023-06-02 20:07:25,AKLHGH,5.07
407171,62,31386,2023-06-26 19:30:57,AKLHND,7.57
230571,64,891118,2023-07-28 19:04:28,AKLICN,6.62
781306,100,880759,2022-09-15 11:32:36,AKLICN,6.62
86449,20,57441,2023-02-16 16:16:32,AKLICN,6.62
711829,50,260372,2023-06-05 04:36:48,AKLICN,6.62
241282,100,557521,2022-08-19 06:41:04,AKLICN,6.62
402045,127,78101,2022-11-05 02:16:51,AKLICN,6.62
8862,130,321330,2023-06-01 05:08:50,AKLICN,6.62
757872,99,262224,2023-01-28 15:27:05,AKLICN,6.62
749732,71,819559,2022-08-19 19:47:31,AKLICN,6.62
235434,108,143520,2023-04-10 20:16:14,AKLICN,6.62
162028,81,640810,2023-07-22 10:35:34,AKLICN,6.62
