hotel_id,hotel_name,city_id,contact_number,address,starrating
781839,Gonzalez-Lee,6269,850-859-4277x0562,"790 Patricia Landing Suite 898
Hensleyview, AZ 20377",3 Star
248821,"Olson, Long and Kim",4091,669-246-2459x910,"3258 Steve Overpass Apt. 301
Cherylfort, NE 81508",3 Star
381425,"Gonzalez, Martin and Jordan",8748,001-862-326-2475x220,"6565 Williams Coves Apt. 872
Davidtown, TN 23044",2 Star
546597,Dunn-Woodard,4696,+1-662-536-4498,"9940 Audrey Shoal Suite 304
New Jason, AS 70251",2 Star
486087,Bridges-Miller,3463,466.596.8180,"52023 Miller Harbor Suite 862
Tinahaven, NJ 08431",5 Star
726268,Roberts-Schmidt,6057,+1-480-687-8982x29130,"906 Griffin Views
West Brian, WA 86967",1 Star
904925,Miller Ltd,6557,+1-666-864-0336x74313,"703 Roberto Pass
Scottbury, UT 41676",4 Star
711739,Hall-Schaefer,4322,583-516-7806x226,"833 Kiara Tunnel
New Melissa, FM 31160",3 Star
582423,Garrett-Edwards,6926,645-832-3756,"056 Paul Vista Suite 930
South Steven, NY 26590",2 Star
81663,Moss PLC,3073,830.746.7574x1099,"26841 Amy Ridges Suite 112
New Joan, MD 21356",2 Star
420026,Fowler LLC,6573,594-663-8189,"53260 Wiley Fall
West Sharimouth, WA 43487",4 Star
741037,Young PLC,6512,(947)654-5347,"28849 Fleming Prairie
New Christy, HI 62878",5 Star
460938,Ramirez-Goodwin,6829,001-497-297-4987x305,"517 Melody Pass Suite 008
Jessicaburgh, MO 21837",2 Star
575185,"Schwartz, Barajas and Stewart",885,767-282-3888,"49805 Berg Crest
Rollinsport, MT 68866",4 Star
541476,Bautista-Joseph,6402,001-834-611-7798,"8791 Cantu Valleys Suite 945
Wilkinsonshire, AZ 18288",1 Star
133304,Mitchell-White,4125,837.332.1125,"04087 Mercedes Estates Suite 195
North Krystalville, DC 05781",4 Star
332272,Young-Reynolds,1958,001-883-330-0007x1395,"501 Morales Pass Apt. 796
New Dustin, MD 02561",2 Star
838923,Grant-Shaw,5982,(343)452-0799,"687 Lee Track Suite 736
Millsberg, MI 77259",4 Star
19929,King-Richmond,4846,(583)375-0518x84430,"29698 Lewis Row
Conniemouth, KY 96612",2 Star
