room_id,hotel_id,room_number,room_type,room_price,occupancy_limit,room_status
28569,575185,532,about,165,4,False
68072,355230,505,common,143,1,True
34122,491866,981,assume,73,1,True
4862,381425,486,network,109,3,True
20390,655981,440,adult,181,1,True
73354,756941,215,general,55,2,False
39804,332272,598,open,134,3,True
51314,450604,150,rich,59,1,False
71207,796328,522,choose,179,3,False
23503,402200,694,score,87,1,True
93538,799308,394,increase,85,3,False
25678,808529,304,public,133,3,True
34884,582423,336,we,160,3,False
64678,498113,961,do,157,4,True
51800,685745,253,how,199,3,False
14087,524535,851,work,159,4,True
8169,777633,468,true,192,3,True
79447,341861,276,around,60,2,True
63132,450604,193,yard,87,3,True
54142,447789,989,worry,181,1,True
57640,398177,893,just,173,4,False
58487,199442,119,safe,131,4,True
1546,187124,239,fear,157,2,True
22125,940013,625,sign,127,3,True
64614,355230,388,good,144,2,True
74834,794680,403,agent,141,4,True
76419,668330,329,treat,155,3,True
47621,293424,315,financial,146,2,False
22330,255874,408,area,131,1,True
5994,567217,656,wide,166,1,False
49050,357472,198,development,70,2,False
25187,11248,373,official,117,4,False
84768,277179,115,whole,106,1,False
47060,611110,242,role,75,2,False
16315,376743,527,why,79,1,True
84106,638766,439,forget,138,2,False
35727,58415,653,happen,115,2,False
11510,34177,365,camera,72,1,True
9761,916134,628,truth,182,1,True
95077,81663,803,stock,73,3,True
37976,280500,977,our,74,2,True
95586,420026,429,person,93,3,True
38784,172197,613,sea,165,2,False
95565,567217,224,investment,156,1,True
18468,63415,405,especially,172,4,False
76057,885629,699,camera,136,4,False
23071,491866,490,series,79,4,True
28824,794680,501,cut,132,1,False
76819,25150,428,nothing,123,3,True
70669,21672,369,long,171,4,False
90199,790481,296,own,79,2,False
82143,414466,111,sing,85,4,True
9659,885629,988,church,164,3,False
15744,508649,339,again,97,3,True
67598,81663,440,I,150,3,True
11272,668330,816,positive,195,3,False
34513,81663,260,friend,125,3,True
59159,582920,995,the,64,3,True
64066,536161,720,rule,165,2,False
4437,536161,889,others,196,4,False
41819,651218,198,nearly,196,4,True
71859,180194,735,here,172,1,True
27748,336855,110,bar,81,2,False
16071,321483,394,situation,135,4,False
21624,301936,621,someone,197,1,False
96698,593134,262,party,89,1,False
24935,447789,994,view,144,3,True
30384,689132,894,argue,59,1,True
38971,51868,528,land,62,2,True
6239,294423,185,character,60,2,True
54603,491866,609,oil,187,3,False
