payment_id,booking_id,amount,payment_date
713107,520639,9915.21,2023-05-23
65194,308264,5469.70,2022-09-13
40978,894271,3893.44,2023-04-06
9458,333406,3659.35,2022-08-13
486804,976785,3774.72,2023-05-03
251651,436270,52.89,2022-09-06
181078,436457,4198.74,2023-05-01
725039,885134,9783.26,2023-02-12
299610,34508,985.85,2022-08-27
961418,287232,7665.36,2023-04-07
996829,320709,482.74,2023-03-02
87774,794285,4189.39,2023-05-18
846620,612254,6532.48,2023-05-03
114593,400845,2507.85,2022-08-22
385069,603908,3806.78,2022-12-25
922945,833692,8921.26,2022-11-15
990601,959868,6278.90,2023-07-27
365807,122698,9984.87,2023-08-05
725945,413748,1112.32,2023-07-12
918228,413551,7590.65,2022-09-09
534418,62743,9443.04,2023-01-09
420365,345492,2561.46,2022-09-12
142404,861998,9078.82,2023-03-28
966054,510689,5523.78,2022-09-01
921748,461005,8369.72,2023-01-28
642034,433653,3381.36,2022-09-06
931704,305018,6692.73,2022-12-16
207413,370934,8546.82,2023-03-19
943920,546173,3421.08,2022-11-21
450079,56405,5453.28,2022-12-27
800581,651421,8380.96,2022-11-16
455123,243199,4086.41,2023-04-26
981133,421509,1713.97,2022-12-05
269696,345528,7174.21,2023-03-06
172935,537639,2180.11,2023-03-26
97977,404462,2928.40,2023-06-16
944143,252393,201.73,2023-01-14
335453,445675,739.79,2022-10-12
102374,150906,2164.46,2023-02-25
535723,790935,8405.88,2022-10-13
869384,670671,8147.06,2023-05-18
737858,640155,7810.43,2022-08-15
202283,734076,3550.54,2023-01-31
709965,786442,8480.04,2023-01-10
848558,928772,31.16,2023-03-08
265989,719216,2199.75,2023-02-13
380146,644631,5666.44,2023-05-18
747747,662060,190.39,2022-09-01
695260,305388,5509.37,2023-02-01
964267,495229,1404.32,2022-10-16
156000,112702,2621.63,2023-03-06
421582,768470,9328.64,2022-10-30
582252,467443,842.51,2022-12-14
358464,175221,9935.12,2023-01-15
484777,257095,4884.38,2023-07-24
504932,523047,3786.74,2022-10-21
671874,248311,5315.25,2023-03-09
414140,753617,1651.88,2023-07-12
44373,939095,9717.48,2022-08-13
190173,131713,438.05,2023-06-07
20428,248311,4333.54,2023-02-20
792736,432545,7203.21,2023-02-14
926394,244312,8240.11,2022-09-09
738925,638465,455.27,2023-04-05
159776,5613,9402.10,2023-02-03
88951,852040,6873.35,2022-10-08
685671,419877,2918.42,2022-10-31
394239,371750,3809.72,2023-07-13
951812,227820,2823.45,2022-12-24
376531,840885,8958.54,2023-06-12
59414,553447,9435.48,2023-05-16
24759,475552,4168.23,2022-12-25
807301,901410,331.05,2023-02-27
375919,999170,3541.08,2022-12-30
834854,552415,3716.69,2023-04-17
269588,876033,5099.36,2023-01-19
430340,180795,1071.79,2023-05-30
999463,131830,8231.42,2022-12-18
545548,338507,2641.18,2022-08-23
339676,361496,6198.21,2022-10-16
318176,241259,4568.74,2022-11-15
7924,729164,1738.71,2022-12-22
96609,876821,9319.81,2022-11-25
610556,924839,1264.80,2022-08-27
698329,133882,2462.14,2023-02-15
281655,573894,9637.32,2023-06-02
511979,239887,6386.10,2022-12-21
749918,343873,2900.73,2023-03-29
518458,370800,9550.24,2023-01-17
521309,363379,3501.59,2022-10-27
26731,610595,9174.27,2023-03-26
554237,998955,417.55,2022-08-26
216318,396449,2137.90,2023-01-30
653846,950423,2638.45,2023-04-05
74738,913061,5961.48,2023-01-20
560676,845645,10.83,2022-11-28
413363,523047,9073.74,2023-05-06
839686,453311,5465.66,2022-11-11
722245,964165,9473.51,2022-11-23
730960,440460,1502.63,2023-06-18
690436,325934,8086.53,2023-06-27
863206,777323,8824.80,2022-08-25
530896,650892,6742.39,2022-12-16
388859,498036,3010.61,2023-07-15
124185,339177,4156.40,2022-10-19
175453,360042,4915.57,2023-06-12
228769,156263,128.33,2023-05-21
349457,122517,5398.56,2022-09-29
616841,549480,3235.87,2023-03-13
897155,483073,9010.31,2022-11-09
381920,806991,1274.54,2023-06-16
606042,174262,2705.34,2022-11-19
47000,940464,5167.22,2022-09-24
857199,673159,1266.00,2023-02-25
35464,610598,2416.49,2023-07-19
610847,809284,7393.06,2022-09-24
734851,102052,6325.50,2022-09-25
322532,952088,4851.16,2023-06-12
141008,863522,4123.27,2023-02-13
420599,813397,120.47,2023-05-22
889621,395636,4046.50,2023-06-12
743889,676617,6210.65,2023-03-04
613292,222453,6383.45,2022-12-15
820370,805609,8056.66,2023-06-17
145870,530294,5530.86,2023-06-18
198083,595732,7600.93,2022-11-24
599035,908782,9150.08,2022-10-29
518363,801291,4332.35,2023-03-07
874297,461191,4415.90,2023-01-09
481132,890492,4150.04,2023-01-08
934587,746332,879.71,2022-10-30
405993,510504,58.13,2023-02-05
444293,807613,5909.99,2022-11-22
225819,45666,1500.07,2023-03-16
919533,623647,939.28,2022-12-22
871057,100378,9975.02,2023-05-14
858348,575856,6459.04,2023-01-14
214981,588231,9335.03,2022-10-20
824959,188561,4972.17,2022-08-11
910969,59993,1602.51,2023-07-23
717319,600605,4357.56,2023-03-20
252345,567313,5835.81,2023-02-12
844342,950365,26.40,2022-08-22
245511,670671,7041.12,2023-02-04
445434,911952,778.04,2023-01-03
215702,222735,462.38,2023-05-21
488173,761474,8105.61,2022-10-16
601655,437573,7021.82,2023-04-29
356441,898469,4422.89,2023-06-23
648959,280145,446.77,2022-09-13
14427,12117,979.52,2023-06-10
420152,22727,764.47,2022-08-15
405907,684752,5740.83,2022-09-15
435746,334064,225.11,2022-08-18
767330,518640,3556.18,2022-09-29
342221,222735,1927.08,2022-08-15
959031,511116,6985.21,2022-10-30
349807,205632,3333.10,2023-04-14
569987,797281,6337.30,2023-02-05
432393,140900,5943.34,2022-08-30
282034,209872,9125.46,2022-09-24
460760,847550,3472.92,2023-01-19
280924,835334,3334.43,2023-07-18
447991,946716,4677.48,2023-03-23
46303,233315,7940.25,2022-12-09
153631,525958,4108.44,2023-06-05
504642,811295,2005.53,2023-01-20
253158,457522,8511.26,2023-02-20
797823,745483,7387.81,2023-04-02
942028,905564,6500.80,2022-09-08
444172,431538,8318.42,2023-02-02
416055,155018,4510.37,2022-08-23
627042,678337,803.22,2023-04-26
626244,670671,8648.12,2023-02-04
183714,631177,782.72,2023-06-05
144959,780735,6088.05,2022-08-10
581858,350015,709.99,2023-01-24
240286,803289,1479.59,2023-02-02
957350,148577,1321.79,2022-10-30
508372,822198,7428.29,2023-02-21
151730,13606,773.15,2023-03-23
372435,273343,7946.96,2023-01-03
534312,584996,912.34,2022-12-16
166565,163178,5336.34,2022-12-22
876933,814936,2039.25,2023-06-24
740016,122700,9495.91,2022-10-16
874069,651046,2695.25,2023-01-27
638728,337802,2799.35,2022-09-02
28036,549480,6926.88,2023-07-30
864306,665851,5390.65,2022-12-03
922093,927638,8157.55,2023-05-25
724181,20556,9773.00,2022-09-24
679123,379947,6328.39,2023-03-24
700899,874502,2564.23,2023-03-21
737621,852040,7414.54,2022-09-06
674005,707316,391.26,2022-09-29
735451,404034,967.85,2022-12-19
500398,479258,6020.12,2023-05-12
817496,337802,7346.27,2022-10-01
808613,488188,8552.28,2023-08-05
919701,216974,9635.61,2022-11-24
252329,149735,9174.04,2023-05-27
693279,270967,6519.53,2023-02-01
151056,281924,540.52,2022-11-20
722663,369288,6965.89,2023-07-15
808493,953529,2474.22,2022-08-31
113328,365277,7977.33,2023-07-25
399910,392800,4810.52,2022-08-28
458902,931090,528.94,2023-05-15
949596,658085,8922.22,2023-07-03
903037,406877,1101.64,2023-01-20
100701,513781,9305.00,2022-09-06
61294,551789,5819.22,2022-08-07
820567,549480,8553.68,2023-06-20
160195,71101,9.85,2023-04-15
669249,282722,8029.60,2023-01-20
871873,710100,1202.69,2023-07-10
676935,71101,6703.83,2023-02-01
107910,731097,1981.60,2023-07-26
525857,587923,6907.69,2022-09-12
187755,458498,6793.55,2023-02-14
931780,600605,6382.72,2022-10-14
322353,233315,1435.57,2022-12-30
537945,837646,4940.85,2022-09-10
544305,305141,2139.13,2023-06-04
40039,660032,3591.79,2022-09-13
520161,365729,1238.37,2022-10-15
665022,835860,5209.33,2022-10-05
497044,227477,7983.65,2023-03-05
940828,427283,5951.83,2023-03-07
278427,811552,4206.52,2023-01-14
650649,202925,2094.97,2023-03-30
52822,104995,9719.64,2023-02-08
539975,239685,5659.87,2023-02-25
621019,339833,7144.74,2022-11-17
57577,848368,2882.95,2022-11-12
483525,917191,5079.36,2022-11-15
687009,44188,3453.01,2023-05-13
716414,497982,3234.93,2022-10-22
733752,200815,7916.60,2023-06-14
798766,388806,4000.03,2023-05-10
530445,949495,2082.23,2023-02-24
829866,812260,4170.52,2022-08-18
387249,411600,8156.34,2023-01-03
617748,985857,155.39,2022-12-23
757435,549168,6673.90,2022-09-06
600365,90714,7858.25,2023-04-13
379561,905564,5457.98,2022-10-07
25629,576395,957.91,2022-12-27
631584,190828,2720.81,2023-05-07
776339,895046,3248.74,2022-10-05
319653,826755,3201.15,2023-05-28
129272,678604,6808.50,2023-07-08
124987,316269,4600.94,2022-10-18
108678,723606,1346.66,2022-12-04
503048,535240,7614.14,2023-03-28
688177,328677,3021.59,2022-12-03
669638,922089,2822.67,2022-08-28
206658,834341,5938.15,2023-02-01
467723,367199,7132.56,2022-08-26
574602,50259,9672.67,2022-11-16
908675,245045,5525.74,2023-07-30
852306,618599,8271.45,2022-09-21
551382,279329,5258.72,2022-09-25
57635,195419,8001.25,2023-04-04
55046,827853,3411.44,2023-02-06
623225,961753,3497.08,2022-08-10
986325,963200,2690.31,2023-01-08
115015,356155,3796.46,2023-01-19
60078,956470,3903.81,2023-04-24
175497,155494,4315.61,2022-09-26
922374,610598,236.98,2023-08-03
110130,407477,9255.00,2022-08-25
846760,157747,6373.89,2023-01-06
286722,118123,7104.89,2023-05-30
289898,440932,1776.83,2022-11-07
489327,6489,2766.00,2022-11-13
440114,998955,370.47,2023-06-17
23568,778322,3059.36,2023-01-30
781439,2191,4583.32,2023-07-25
647174,130596,2097.90,2023-02-18
598780,501099,2585.86,2022-12-05
766369,456146,5394.53,2023-03-25
389091,963497,7547.35,2022-08-24
735662,388500,2577.10,2023-03-26
471229,196331,7938.54,2023-02-08
699628,392800,6822.85,2023-05-21
141013,777323,6275.62,2023-04-18
861327,400703,6896.11,2022-09-21
807404,768470,8262.66,2023-04-15
972980,779738,6859.80,2023-06-08
417095,644734,8009.18,2022-08-21
197662,163178,5098.42,2023-02-16
